MIN=0	-3	-10	0	
MAX=160	3	10	25	
SCALE=50	1	5	10	
DEC=2	3	2	3	
DEF="Zeit" t / s	"Spannung" U_A1 / V	"Spannung" U_B1 / V	"Frequenz" f / Hz	
0	-0,798	3,71	NAN	
0,02	-0,7815	3,725	NAN	
0,04	-0,945	3,735	NAN	
0,06	-0,7725	3,74	NAN	
0,08	-0,6675	3,74	NAN	
0,1	-0,753	3,755	NAN	
0,12	-0,696	3,76	NAN	
0,14	-0,735	3,775	NAN	
0,16	-0,696	3,775	NAN	
0,18	-0,7725	3,785	NAN	
0,2	-0,6045	3,79	NAN	
0,22	-0,7755	3,805	NAN	
0,24	-0,555	3,825	NAN	
0,26	-0,5325	3,82	NAN	
0,28	-0,39	3,83	NAN	
0,3	-0,4185	3,83	NAN	
0,32	-0,4485	3,85	NAN	
0,34	-0,45	3,855	NAN	
0,36	-0,4815	3,86	NAN	
0,38	-0,4305	3,865	NAN	
0,4	-0,5535	3,87	NAN	
0,42	-0,3885	3,885	NAN	
0,44	-0,4245	3,89	NAN	
0,46	-0,513	3,9	NAN	
0,48	-0,471	3,905	NAN	
0,5	-0,4215	3,92	NAN	
0,52	-0,417	3,92	NAN	
0,54	-0,636	3,935	NAN	
0,56	-0,4485	3,935	NAN	
0,58	-0,459	3,95	NAN	
0,6	-0,558	3,95	NAN	
0,62	-0,426	3,97	NAN	
0,64	-0,474	3,97	NAN	
0,66	-0,207	3,98	NAN	
0,68	-0,207	3,99	NAN	
0,7	-0,1725	3,995	NAN	
0,72	-0,0945	4,01	NAN	
0,74	-0,036	4,01	NAN	
0,76	-0,1815	4,025	NAN	
0,78	-0,2115	4,03	NAN	
0,8	-0,3105	4,04	NAN	
0,82	-0,207	4,04	NAN	
0,84	-0,177	4,05	NAN	
0,86	-0,156	4,06	NAN	
0,88	-0,219	4,07	NAN	
0,9	-0,4065	4,08	NAN	
0,92	-0,2325	4,085	NAN	
0,94	-0,0645	4,095	NAN	
0,96	-0,102	4,095	NAN	
0,98	-0,246	4,11	NAN	
1	-0,2025	4,11	NAN	
1,02	-0,2685	4,13	NAN	
1,04	-0,234	4,135	NAN	
1,06	-0,114	4,145	NAN	
1,08	-0,207	4,15	NAN	
1,1	-0,021	4,165	NAN	
1,12	-0,0045	4,165	NAN	
1,14	-0,0945	4,175	NAN	
1,16	0,09	4,185	NAN	
1,18	-0,024	4,195	NAN	
1,2	-0,015	4,21	NAN	
1,22	0,027	4,21	NAN	
1,24	-0,1035	4,22	NAN	
1,26	-0,066	4,225	NAN	
1,28	-0,1095	4,235	NAN	
1,3	-0,2205	4,24	NAN	
1,32	-0,027	4,255	NAN	
1,34	-0,069	4,26	NAN	
1,36	-0,1455	4,27	NAN	
1,38	-0,1845	4,28	NAN	
1,4	-0,078	4,28	NAN	
1,42	-0,183	4,295	NAN	
1,44	-0,012	4,295	NAN	
1,46	-0,156	4,31	NAN	
1,48	-0,006	4,31	NAN	
1,5	-0,0045	4,335	NAN	
1,52	0,2565	4,33	NAN	
1,54	0,099	4,34	NAN	
1,56	0,093	4,35	NAN	
1,58	-0,0375	4,36	NAN	
1,6	0,066	4,365	NAN	
1,62	0,153	4,375	NAN	
1,64	0,1035	4,385	NAN	
1,66	0,1365	4,385	NAN	
1,68	0,171	4,405	NAN	
1,7	-0,0105	4,4	NAN	
1,72	0,0405	4,415	NAN	
1,74	-0,0015	4,42	NAN	
1,76	-0,009	4,43	NAN	
1,78	0,0075	4,44	NAN	
1,8	0,1515	4,45	NAN	
1,82	0,054	4,455	NAN	
1,84	0,0615	4,465	NAN	
1,86	0,18	4,475	NAN	
1,88	0,036	4,475	NAN	
1,9	0,135	4,485	NAN	
1,92	0,1455	4,485	NAN	
1,94	0,183	4,505	NAN	
1,96	0,2865	4,5	NAN	
1,98	0,255	4,515	NAN	
2	0,3015	4,52	NAN	
2,02	0,3855	4,53	NAN	
2,04	0,3	4,54	NAN	
2,06	0,174	4,545	NAN	
2,08	0,2685	4,555	NAN	
2,1	0,2385	4,555	NAN	
2,12	0,0495	4,575	NAN	
2,14	0,2175	4,575	NAN	
2,16	0,2025	4,585	NAN	
2,18	0,0885	4,59	NAN	
2,2	0,198	4,6	NAN	
2,22	0,1935	4,605	NAN	
2,24	0,066	4,615	NAN	
2,26	0,105	4,62	NAN	
2,28	0,168	4,63	NAN	
2,3	0,1035	4,64	NAN	
2,32	0,096	4,645	NAN	
2,34	0,093	4,655	NAN	
2,36	0,201	4,655	NAN	
2,38	0,3405	4,665	NAN	
2,4	0,303	4,67	NAN	
2,42	0,2865	4,68	NAN	
2,44	0,3165	4,685	NAN	
2,46	0,2745	4,695	NAN	
2,48	0,228	4,7	NAN	
2,5	0,189	4,71	NAN	
