MIN=0	-3	-10	0	
MAX=160	3	10	25	
SCALE=50	1	5	10	
DEC=2	3	2	3	
DEF="Zeit" t / s	"Spannung" U_A1 / V	"Spannung" U_B1 / V	"Frequenz" f / Hz	
3,04	0,1875	0,47	NAN	
3,06	0,1935	0,47	NAN	
3,08	0,2205	0,48	NAN	
3,1	0,285	0,47	NAN	
3,12	0,036	0,48	NAN	
3,14	0,207	0,47	NAN	
3,16	0,177	0,475	NAN	
3,18	0,096	0,47	NAN	
3,2	0,204	0,475	NAN	
3,22	0,009	0,47	NAN	
3,24	0,1185	0,475	NAN	
3,26	-0,081	0,47	NAN	
3,28	0,1935	0,48	NAN	
3,3	0,051	0,47	NAN	
3,32	0,039	0,48	NAN	
3,34	0,261	0,47	NAN	
3,36	0,186	0,48	NAN	
3,38	0,126	0,475	NAN	
3,4	0,1275	0,475	NAN	
3,42	0,177	0,475	NAN	
3,44	0,2175	0,475	NAN	
3,46	0,2565	0,475	NAN	
3,48	0,222	0,475	NAN	
3,5	-0,0135	0,48	NAN	
3,52	0,186	0,475	NAN	
3,54	0,045	0,48	NAN	
3,56	0,3285	0,475	NAN	
3,58	0,0765	0,48	NAN	
3,6	0,0795	0,47	NAN	
3,62	0	0,48	NAN	
3,64	0,2115	0,47	NAN	
3,66	0,0675	0,48	NAN	
3,68	0,2565	0,475	NAN	
3,7	0,063	0,48	NAN	
3,72	0,2025	0,47	NAN	
3,74	0,006	0,48	NAN	
3,76	0,24	0,475	NAN	
3,78	-0,027	0,48	NAN	
3,8	0,2055	0,47	NAN	
3,82	0,0675	0,48	NAN	
3,84	0,1215	0,475	NAN	
3,86	0,213	0,48	NAN	
3,88	0,261	0,475	NAN	
3,9	0,1455	0,48	NAN	
3,92	0,255	0,49	NAN	
3,94	0,0585	0,475	NAN	
3,96	0,276	0,48	NAN	
3,98	-0,072	0,475	NAN	
4	0,27	0,48	NAN	
4,02	0,009	0,475	NAN	
4,04	0,2505	0,48	NAN	
4,06	-0,006	0,475	NAN	
4,08	0,1545	0,48	NAN	
4,1	0,003	0,475	NAN	
4,12	0,033	0,48	NAN	
4,14	0,1305	0,475	NAN	
4,16	0,219	0,48	NAN	
4,18	0,384	0,48	NAN	
4,2	0,249	0,48	NAN	
4,22	0,234	0,475	NAN	
4,24	0,3015	0,48	NAN	
4,26	0,1035	0,48	NAN	
4,28	0,2205	0,48	NAN	
4,3	0,2055	0,48	NAN	
4,32	0,0825	0,48	NAN	
4,34	0,1995	0,48	NAN	
4,36	0,294	0,48	NAN	
4,38	0,0765	0,48	NAN	
4,4	0,1665	0,48	NAN	
