MIN=0	-3	-10	0	
MAX=160	3	10	25	
SCALE=50	1	5	10	
DEC=2	3	2	3	
DEF="Zeit" t / s	"Spannung" U_A1 / V	"Spannung" U_B1 / V	"Frequenz" f / Hz	
0	0,1665	4,345	NAN	
0,02	0,228	4,35	NAN	
0,04	0,1455	4,34	NAN	
0,06	0,1125	4,335	NAN	
0,08	0,105	4,335	NAN	
0,1	0,1335	4,33	NAN	
0,12	0,087	4,325	NAN	
0,14	0,0825	4,325	NAN	
0,16	-0,0135	4,315	NAN	
0,18	0,1305	4,31	NAN	
0,2	0,0255	4,31	NAN	
0,22	0,1215	4,29	NAN	
0,24	0,1335	4,295	NAN	
0,26	0,1545	4,295	NAN	
0,28	0,0705	4,285	NAN	
0,3	0,027	4,29	NAN	
0,32	0,0915	4,275	NAN	
0,34	0,036	4,275	NAN	
0,36	-0,003	4,27	NAN	
0,38	0,1275	4,26	NAN	
0,4	0,201	4,255	NAN	
0,42	0,258	4,255	NAN	
0,44	0,1785	4,245	NAN	
0,46	0,15	4,245	NAN	
0,48	0,222	4,24	NAN	
0,5	0,1665	4,23	NAN	
0,52	0,099	4,235	NAN	
0,54	0,2385	4,225	NAN	
0,56	0,0465	4,215	NAN	
0,58	0,045	4,22	NAN	
0,6	0,1605	4,21	NAN	
0,62	0,0435	4,205	NAN	
0,64	0,1275	4,205	NAN	
0,66	0,078	4,2	NAN	
0,68	0,1365	4,185	NAN	
0,7	0,1035	4,185	NAN	
0,72	0,2235	4,18	NAN	
0,74	0,2835	4,17	NAN	
0,76	0,312	4,175	NAN	
0,78	0,2055	4,17	NAN	
0,8	0,171	4,16	NAN	
0,82	0,1005	4,155	NAN	
0,84	0,0825	4,155	NAN	
0,86	0,075	4,145	NAN	
0,88	-0,015	4,145	NAN	
0,9	0,087	4,14	NAN	
0,92	0,096	4,13	NAN	
0,94	0,0855	4,13	NAN	
0,96	0,1215	4,125	NAN	
0,98	0,132	4,115	NAN	
1	0,126	4,115	NAN	
1,02	0,165	4,11	NAN	
1,04	0,2355	4,1	NAN	
1,06	0,1695	4,1	NAN	
1,08	0,1665	4,095	NAN	
1,1	0,066	4,085	NAN	
1,12	0,099	4,085	NAN	
1,14	0,2385	4,075	NAN	
1,16	0,171	4,07	NAN	
1,18	0,069	4,085	NAN	
1,2	0,2655	4,065	NAN	
1,22	0,2385	4,06	NAN	
1,24	0,138	4,06	NAN	
1,26	0,2235	4,045	NAN	
1,28	0,192	4,045	NAN	
1,3	0,1485	4,045	NAN	
1,32	0,075	4,03	NAN	
1,34	0,195	4,035	NAN	
1,36	0,159	4,025	NAN	
1,38	0,138	4,025	NAN	
1,4	0,1575	4,015	NAN	
1,42	0,0765	4,01	NAN	
1,44	0,1005	4,005	NAN	
1,46	0,1095	4,005	NAN	
1,48	0,2325	3,995	NAN	
1,5	0,2685	3,995	NAN	
1,52	0,1905	3,99	NAN	
1,54	0,1515	3,975	NAN	
1,56	0,138	3,98	NAN	
1,58	0,066	3,975	NAN	
1,6	0,1515	3,97	NAN	
1,62	0,1245	3,97	NAN	
1,64	0,1785	3,96	NAN	
1,66	0,1455	3,96	NAN	
1,68	0,1815	3,955	NAN	
1,7	0,129	3,94	NAN	
1,72	0,1185	3,945	NAN	
1,74	0,1575	3,94	NAN	
1,76	0,108	3,93	NAN	
1,78	0,162	3,93	NAN	
1,8	0,1065	3,925	NAN	
1,82	0,1395	3,92	NAN	
1,84	0,0855	3,92	NAN	
1,86	0,1155	3,91	NAN	
1,88	0,075	3,91	NAN	
1,9	0,12	3,905	NAN	
1,92	0,129	3,895	NAN	
1,94	0,2325	3,89	NAN	
1,96	0,1275	3,89	NAN	
1,98	0,1095	3,88	NAN	
2	0,1335	3,88	NAN	
2,02	0,1335	3,875	NAN	
2,04	0,1215	3,87	NAN	
2,06	0,183	3,87	NAN	
2,08	0,069	3,865	NAN	
2,1	0,1365	3,87	NAN	
2,12	0,117	3,855	NAN	
2,14	0,1545	3,845	NAN	
2,16	0,2205	3,845	NAN	
2,18	0,141	3,845	NAN	
2,2	0,1695	3,83	NAN	
2,22	0,1035	3,835	NAN	
2,24	0,198	3,83	NAN	
2,26	0,138	3,825	NAN	
2,28	0,111	3,82	NAN	
2,3	0,1515	3,82	NAN	
2,32	0,1905	3,81	NAN	
2,34	0,219	3,81	NAN	
2,36	0,2085	3,8	NAN	
2,38	0,183	3,8	NAN	
2,4	0,2235	3,8	NAN	
2,42	0,2835	3,785	NAN	
2,44	0,219	3,785	NAN	
2,46	0,1965	3,785	NAN	
2,48	0,1995	3,775	NAN	
2,5	0,081	3,775	NAN	
2,52	0,147	3,77	NAN	
2,54	0,168	3,765	NAN	
2,56	0,2115	3,76	NAN	
