MIN=0	-3	-10	0	
MAX=160	3	10	25	
SCALE=50	1	5	10	
DEC=2	3	2	3	
DEF="Zeit" t / s	"Spannung" U_A1 / V	"Spannung" U_B1 / V	"Frequenz" f / Hz	
0	-1,728	3,13	NAN	
0,02	-1,623	3,13	NAN	
0,04	-1,779	3,14	NAN	
0,06	-1,6905	3,15	NAN	
0,08	-1,6905	3,15	NAN	
0,1	-1,7415	3,16	NAN	
0,12	-1,6725	3,16	NAN	
0,14	-1,6905	3,165	NAN	
0,16	-1,6515	3,165	NAN	
0,18	-1,6815	3,175	NAN	
0,2	-1,6785	3,175	NAN	
0,22	-1,725	3,185	NAN	
0,24	-1,653	3,19	NAN	
0,26	-1,626	3,195	NAN	
0,28	-1,632	3,2	NAN	
0,3	-1,563	3,2	NAN	
0,32	-1,6215	3,21	NAN	
0,34	-1,5855	3,21	NAN	
0,36	-1,5045	3,22	NAN	
0,38	-1,476	3,225	NAN	
0,4	-1,557	3,23	NAN	
0,42	-1,458	3,235	NAN	
0,44	-1,4235	3,235	NAN	
0,46	-1,3725	3,245	NAN	
0,48	-1,3065	3,245	NAN	
0,5	-1,413	3,26	NAN	
0,52	-1,3425	3,26	NAN	
0,54	-1,3605	3,265	NAN	
0,56	-1,3185	3,275	NAN	
0,58	-1,299	3,27	NAN	
0,6	-1,3035	3,285	NAN	
0,62	-1,2615	3,28	NAN	
0,64	-1,2075	3,295	NAN	
0,66	-1,275	3,295	NAN	
0,68	-1,245	3,305	NAN	
0,7	-1,278	3,305	NAN	
0,72	-1,092	3,31	NAN	
0,74	-1,1685	3,315	NAN	
0,76	-1,1025	3,315	NAN	
0,78	-1,113	3,33	NAN	
0,8	-1,0125	3,325	NAN	
0,82	-0,996	3,34	NAN	
0,84	-1,098	3,335	NAN	
0,86	-1,086	3,345	NAN	
0,88	-1,029	3,35	NAN	
0,9	-0,9525	3,35	NAN	
0,92	-0,9855	3,36	NAN	
0,94	-0,9015	3,36	NAN	
0,96	-0,9	3,37	NAN	
0,98	-0,8685	3,375	NAN	
1	-0,873	3,38	NAN	
1,02	-0,9765	3,39	NAN	
1,04	-0,885	3,385	NAN	
1,06	-0,843	3,4	NAN	
1,08	-0,9585	3,395	NAN	
1,1	-0,789	3,41	NAN	
1,12	-0,7605	3,405	NAN	
1,14	-0,8205	3,415	NAN	
1,16	-0,807	3,42	NAN	
1,18	-0,744	3,42	NAN	
1,2	-0,8115	3,43	NAN	
1,22	-0,7305	3,43	NAN	
1,24	-0,7485	3,44	NAN	
1,26	-0,8505	3,435	NAN	
1,28	-0,6975	3,455	NAN	
1,3	-0,618	3,45	NAN	
1,32	-0,636	3,46	NAN	
1,34	-0,6735	3,47	NAN	
1,36	-0,585	3,465	NAN	
1,38	-0,735	3,48	NAN	
1,4	-0,6465	3,485	NAN	
1,42	-0,6525	3,485	NAN	
1,44	-0,5625	3,49	NAN	
1,46	-0,567	3,495	NAN	
1,48	-0,63	3,495	NAN	
1,5	-0,564	3,5	NAN	
1,52	-0,5835	3,515	NAN	
1,54	-0,5895	3,51	NAN	
1,56	-0,5505	3,52	NAN	
1,58	-0,5835	3,52	NAN	
1,6	-0,687	3,53	NAN	
1,62	-0,5325	3,53	NAN	
1,64	-0,5085	3,535	NAN	
1,66	-0,5475	3,54	NAN	
1,68	-0,567	3,54	NAN	
1,7	-0,492	3,555	NAN	
1,72	-0,4515	3,55	NAN	
1,74	-0,5145	3,56	NAN	
1,76	-0,483	3,565	NAN	
1,78	-0,453	3,57	NAN	
1,8	-0,354	3,575	NAN	
1,82	-0,489	3,575	NAN	
1,84	-0,4335	3,585	NAN	
1,86	-0,5145	3,58	NAN	
1,88	-0,504	3,595	NAN	
1,9	-0,4275	3,595	NAN	
1,92	-0,3465	3,6	NAN	
1,94	-0,3885	3,605	NAN	
1,96	-0,3915	3,605	NAN	
1,98	-0,429	3,615	NAN	
2	-0,3945	3,615	NAN	
2,02	-0,3525	3,625	NAN	
2,04	-0,441	3,625	NAN	
2,06	-0,435	3,635	NAN	
2,08	-0,405	3,635	NAN	
2,1	-0,3915	3,645	NAN	
2,12	-0,3495	3,65	NAN	
2,14	-0,3075	3,65	NAN	
2,16	-0,3825	3,66	NAN	
2,18	-0,3015	3,655	NAN	
2,2	-0,402	3,67	NAN	
2,22	-0,3195	3,665	NAN	
2,24	-0,3255	3,675	NAN	
2,26	-0,309	3,68	NAN	
2,28	-0,315	3,68	NAN	
2,3	-0,324	3,69	NAN	
2,32	-0,3495	3,7	NAN	
2,34	-0,336	3,7	NAN	
2,36	-0,2175	3,7	NAN	
2,38	-0,2985	3,71	NAN	
2,4	-0,2235	3,71	NAN	
2,42	-0,2865	3,715	NAN	
